node_id,fraud_score,if_score,lof_score,heuristic_score,risk_level,is_anomaly
tx_43566,0.611693,0.387302,0.962269,0.35,HIGH,0
tx_41832,0.611274,0.373397,0.976864,0.35,HIGH,0
tx_38313,0.611252,0.414009,0.93112,0.35,HIGH,0
tx_33045,0.611122,0.357387,0.919495,0.55,HIGH,0
tx_49623,0.610904,0.335469,0.943606,0.55,HIGH,0
tx_47768,0.610616,0.422532,0.919941,0.35,HIGH,0
tx_4717,0.610454,0.489473,0.975478,0.0,HIGH,0
tx_31355,0.610357,0.29143,0.954284,0.65,HIGH,0
tx_34326,0.610257,0.375575,0.896871,0.55,HIGH,0
tx_41917,0.610234,0.329478,0.948671,0.55,HIGH,0
tx_25325,0.610202,0.383494,0.850323,0.65,HIGH,0
tx_42698,0.609945,0.303841,0.976791,0.55,HIGH,0
tx_31360,0.609622,0.370268,0.863755,0.65,HIGH,0
tx_49545,0.609206,0.414337,0.850637,0.55,HIGH,0
tx_36832,0.609168,0.360042,0.911624,0.55,HIGH,0
tx_46763,0.608955,0.281673,0.961756,0.65,HIGH,0
tx_48708,0.608825,0.310391,0.966621,0.55,HIGH,0
tx_8652,0.608803,0.374604,0.894327,0.55,HIGH,0
tx_16199,0.60877,0.48492,0.770139,0.55,HIGH,0
tx_42340,0.608712,0.299802,0.940753,0.65,HIGH,0
tx_46940,0.608568,0.310989,0.965307,0.55,HIGH,0
tx_43356,0.608409,0.369968,0.89856,0.55,HIGH,0
tx_44424,0.608308,0.315759,0.959291,0.55,HIGH,0
tx_42331,0.6083,0.364857,0.979036,0.35,HIGH,0
tx_47344,0.608126,0.293708,0.946143,0.65,HIGH,0
tx_35968,0.608087,0.379824,0.886666,0.55,HIGH,0
tx_1811,0.608081,0.496217,0.961959,0.0,HIGH,0
tx_36796,0.608033,0.344803,0.925928,0.55,HIGH,0
tx_40484,0.607839,0.412693,0.924069,0.35,HIGH,0
tx_44555,0.607678,0.524441,0.929198,0.0,HIGH,0
tx_44443,0.607662,0.342027,0.890625,0.65,HIGH,0
tx_48089,0.607634,0.407829,0.929026,0.35,HIGH,0
tx_21792,0.607513,0.515933,0.938357,0.0,HIGH,0
tx_47589,0.60745,0.35892,0.90859,0.55,HIGH,0
tx_44705,0.607434,0.334329,0.936216,0.55,HIGH,0
tx_770,0.607196,0.496018,0.95997,0.0,HIGH,0
tx_12709,0.607076,0.468221,0.99094,0.0,HIGH,0
tx_47237,0.606873,0.389621,0.947609,0.35,HIGH,0
tx_33105,0.60684,0.313241,0.958454,0.55,HIGH,0
tx_49815,0.606839,0.419057,0.914407,0.35,HIGH,0
tx_42661,0.606803,0.371765,0.855022,0.65,HIGH,0
tx_49552,0.60675,0.42109,0.9119,0.35,HIGH,0
tx_43506,0.60616,0.335988,0.931164,0.55,HIGH,0
tx_32911,0.606159,0.381039,0.88048,0.55,HIGH,0
tx_27852,0.6061,0.38024,0.881229,0.55,HIGH,0
tx_49105,0.605956,0.370019,0.967368,0.35,HIGH,0
tx_46094,0.60595,0.343759,0.884398,0.65,HIGH,0
tx_15336,0.605882,0.418486,0.968908,0.2,HIGH,0
tx_48495,0.605795,0.326089,0.941388,0.55,HIGH,0
tx_45496,0.605783,0.387512,0.947257,0.35,HIGH,0
tx_49256,0.605777,0.319692,0.948541,0.55,HIGH,0
tx_34506,0.60532,0.486508,0.965978,0.0,HIGH,0
tx_34023,0.605265,0.388194,0.870194,0.55,HIGH,0
tx_37253,0.605145,0.304056,0.964549,0.55,HIGH,0
tx_11519,0.605046,0.481484,0.970946,0.0,HIGH,0
tx_44413,0.605007,0.354701,0.90723,0.55,HIGH,0
tx_36027,0.604827,0.425452,0.789684,0.65,HIGH,0
tx_45839,0.60456,0.332976,0.893053,0.65,HIGH,0
tx_38587,0.604171,0.309971,0.91796,0.65,HIGH,0
tx_44823,0.60416,0.402657,0.813661,0.65,HIGH,0
tx_46728,0.604029,0.300463,0.965801,0.55,HIGH,0
tx_16983,0.603933,0.497832,0.949772,0.0,HIGH,0
tx_46435,0.603812,0.356912,0.976754,0.35,HIGH,0
acc_M1298860432,0.603652,0.538225,0.903626,0.0,HIGH,0
tx_39520,0.603572,0.486747,0.961341,0.0,HIGH,0
tx_37493,0.603283,0.330322,0.892845,0.65,HIGH,0
tx_24518,0.603137,0.464289,0.985516,0.0,HIGH,0
tx_47949,0.602958,0.315185,0.946562,0.55,HIGH,0
tx_17220,0.602856,0.461987,0.987404,0.0,HIGH,0
tx_44138,0.602767,0.351666,0.980043,0.35,HIGH,0
tx_47847,0.602674,0.297936,0.927758,0.65,HIGH,0
tx_48773,0.602629,0.367609,0.961762,0.35,HIGH,0
tx_38372,0.602588,0.312999,0.948097,0.55,HIGH,0
tx_17076,0.602462,0.370845,0.957704,0.35,HIGH,0
tx_40268,0.602457,0.391455,0.934505,0.35,HIGH,0
tx_8373,0.602434,0.501092,0.942356,0.0,HIGH,0
tx_23561,0.602359,0.520246,0.920621,0.0,HIGH,0
tx_32582,0.602306,0.329451,0.891382,0.65,HIGH,0
tx_12945,0.601899,0.501474,0.940589,0.0,HIGH,0
tx_37527,0.60172,0.356558,0.971922,0.35,HIGH,0
tx_47868,0.601507,0.303885,0.955646,0.55,HIGH,0
tx_18839,0.601353,0.369657,0.881268,0.55,HIGH,0
tx_6155,0.601045,0.496753,0.943765,0.0,HIGH,0
tx_49023,0.600951,0.32646,0.92886,0.55,HIGH,0
tx_49341,0.600756,0.32769,0.926988,0.55,HIGH,0
tx_40700,0.60064,0.368898,0.955339,0.35,HIGH,0
tx_38506,0.600629,0.355242,0.970676,0.35,HIGH,0
tx_46395,0.600355,0.333668,0.88176,0.65,HIGH,0
tx_16132,0.600231,0.459343,0.983817,0.0,HIGH,0
tx_35030,0.600109,0.469079,0.972558,0.0,HIGH,0
tx_14816,0.600029,0.500331,0.9372,0.0,HIGH,0
tx_48058,0.600015,0.299233,0.957151,0.55,HIGH,0
tx_44202,0.600006,0.315315,0.939036,0.55,HIGH,0
tx_13250,0.599904,0.492987,0.945149,0.0,HIGH,0
tx_34542,0.599874,0.358668,0.964934,0.35,HIGH,0
tx_35142,0.599853,0.490742,0.947547,0.0,HIGH,0
tx_48224,0.599823,0.379751,0.941087,0.35,HIGH,0
tx_6424,0.599431,0.503809,0.931793,0.0,HIGH,0
tx_47144,0.59934,0.300209,0.954365,0.55,HIGH,0
tx_48848,0.599314,0.341568,0.907771,0.55,HIGH,0
tx_41891,0.599304,0.489438,0.947643,0.0,HIGH,0
tx_49712,0.599296,0.311783,0.941235,0.55,HIGH,0
tx_49022,0.599275,0.379954,0.939489,0.35,HIGH,0
tx_42888,0.599157,0.297909,0.918996,0.65,HIGH,0
tx_46318,0.599124,0.338572,0.910666,0.55,HIGH,0
tx_47067,0.598985,0.279548,0.976722,0.55,HIGH,0
tx_44552,0.598894,0.258204,0.963007,0.65,HIGH,0
tx_46456,0.59877,0.375013,0.943785,0.35,HIGH,0
tx_31375,0.598713,0.357583,0.963252,0.35,HIGH,0
tx_49065,0.598675,0.317675,0.895553,0.65,HIGH,0
tx_32293,0.598674,0.359828,0.960629,0.35,HIGH,0
tx_49226,0.598604,0.351047,0.970331,0.35,HIGH,0
tx_33461,0.598594,0.365001,0.879608,0.55,HIGH,0
tx_37371,0.59855,0.384584,0.932469,0.35,HIGH,0
tx_48050,0.598525,0.375305,0.942844,0.35,HIGH,0
tx_27211,0.59849,0.486226,0.949219,0.0,HIGH,0
tx_47381,0.598468,0.350101,0.896057,0.55,HIGH,0
tx_47082,0.598448,0.311089,0.939895,0.55,HIGH,0
tx_26618,0.598324,0.38574,0.930603,0.35,HIGH,0
tx_38852,0.598166,0.368666,0.949415,0.35,HIGH,0
tx_49738,0.59794,0.305497,0.944917,0.55,HIGH,0
tx_48118,0.59792,0.322419,0.888328,0.65,HIGH,0
tx_49749,0.59792,0.360434,0.95806,0.35,HIGH,0
tx_29871,0.597901,0.480806,0.953845,0.0,HIGH,0
tx_43013,0.597661,0.36104,0.956733,0.35,HIGH,0
tx_41243,0.597598,0.339364,0.905962,0.55,HIGH,0
tx_41561,0.59747,0.359797,0.957652,0.35,HIGH,0
tx_47012,0.597429,0.301273,0.948391,0.55,HIGH,0
tx_48906,0.59739,0.38927,0.924295,0.35,HIGH,0
tx_2073,0.597284,0.4869,0.945449,0.0,HIGH,0
tx_40863,0.597149,0.323296,0.885414,0.65,HIGH,0
tx_30577,0.597115,0.470339,0.963657,0.0,HIGH,0
tx_40129,0.597075,0.348129,0.857293,0.65,HIGH,0
acc_C1437077284,0.596925,0.512359,0.747158,0.45,HIGH,0
tx_48732,0.596894,0.373068,0.941284,0.35,HIGH,0
tx_22686,0.596891,0.475145,0.957689,0.0,HIGH,0
tx_42348,0.596887,0.362432,0.953231,0.35,HIGH,0
tx_34704,0.596855,0.364901,0.875373,0.55,HIGH,0
tx_41115,0.59671,0.291699,0.957363,0.55,HIGH,0
tx_49826,0.596696,0.250766,0.965878,0.65,HIGH,0
tx_14725,0.596629,0.434117,0.871942,0.35,MEDIUM,0
tx_47888,0.596574,0.417536,0.890456,0.35,MEDIUM,0
tx_39915,0.596556,0.324547,0.882525,0.65,MEDIUM,0
tx_42903,0.596486,0.288,0.960965,0.55,MEDIUM,0
tx_48442,0.596476,0.317192,0.9281,0.55,MEDIUM,0
tx_41820,0.596359,0.457227,0.976518,0.0,MEDIUM,0
tx_46125,0.596355,0.326638,0.879669,0.65,MEDIUM,0
tx_39957,0.596093,0.381827,0.929428,0.35,MEDIUM,0
tx_11160,0.59607,0.480114,0.950047,0.0,MEDIUM,0
tx_48340,0.596038,0.321021,0.885198,0.65,MEDIUM,0
tx_49332,0.596017,0.343015,0.9729,0.35,MEDIUM,0
tx_47153,0.595945,0.282346,0.965974,0.55,MEDIUM,0
tx_8690,0.595827,0.430667,0.873818,0.35,MEDIUM,0
tx_43931,0.595821,0.364944,0.94774,0.35,MEDIUM,0
tx_41739,0.595817,0.397588,0.798506,0.65,MEDIUM,0
tx_47884,0.59577,0.370013,0.94191,0.35,MEDIUM,0
tx_42201,0.595761,0.348792,0.853261,0.65,MEDIUM,0
tx_44282,0.595708,0.362403,0.950318,0.35,MEDIUM,0
tx_47142,0.595652,0.360684,0.952111,0.35,MEDIUM,0
tx_6887,0.59564,0.519053,0.905166,0.0,MEDIUM,0
tx_48101,0.595625,0.360693,0.952032,0.35,MEDIUM,0
tx_32603,0.59542,0.36934,0.941793,0.35,MEDIUM,0
tx_33815,0.595379,0.302205,0.904717,0.65,MEDIUM,0
tx_47122,0.595291,0.303833,0.940167,0.55,MEDIUM,0
tx_49875,0.595185,0.364696,0.946428,0.35,MEDIUM,0
tx_12438,0.595154,0.51303,0.910728,0.0,MEDIUM,0
tx_27370,0.595139,0.48208,0.945507,0.0,MEDIUM,0
tx_35153,0.595125,0.457867,0.972713,0.0,MEDIUM,0
tx_44842,0.595022,0.302915,0.940526,0.55,MEDIUM,0
tx_47072,0.595016,0.334925,0.9045,0.55,MEDIUM,0
tx_19317,0.59501,0.331527,0.983306,0.35,MEDIUM,0
tx_45964,0.594929,0.343333,0.969822,0.35,MEDIUM,0
tx_7176,0.594922,0.509181,0.914476,0.0,MEDIUM,0
tx_33468,0.594906,0.306701,0.898477,0.65,MEDIUM,0
tx_48327,0.594877,0.294856,0.94923,0.55,MEDIUM,0
tx_46531,0.594862,0.326667,0.913406,0.55,MEDIUM,0
tx_18107,0.594855,0.422496,0.936829,0.2,MEDIUM,0
tx_36782,0.594692,0.380361,0.927574,0.35,MEDIUM,0
tx_26941,0.594616,0.473139,0.954258,0.0,MEDIUM,0
tx_45812,0.594612,0.305751,0.898811,0.65,MEDIUM,0
tx_29259,0.594512,0.263769,0.94579,0.65,MEDIUM,0
tx_41239,0.594459,0.477117,0.949393,0.0,MEDIUM,0
tx_33939,0.594452,0.464162,0.963948,0.0,MEDIUM,0
tx_42702,0.594344,0.487063,0.937914,0.0,MEDIUM,0
acc_C113946840,0.594212,0.527923,0.722868,0.45,MEDIUM,0
tx_45996,0.594191,0.276013,0.931213,0.65,MEDIUM,0
tx_15621,0.594186,0.434439,0.996722,0.0,MEDIUM,0
tx_46614,0.594139,0.433353,0.866577,0.35,MEDIUM,0
tx_48047,0.594103,0.32554,0.912776,0.55,MEDIUM,0
tx_48134,0.593995,0.383639,0.847144,0.55,MEDIUM,0
tx_35233,0.593927,0.398355,0.905418,0.35,MEDIUM,0
tx_44623,0.593927,0.289242,0.95317,0.55,MEDIUM,0
tx_12300,0.593922,0.463837,0.962989,0.0,MEDIUM,0
tx_42068,0.593897,0.305517,0.934786,0.55,MEDIUM,0
tx_43079,0.593853,0.374386,0.932199,0.35,MEDIUM,0
tx_47139,0.593796,0.276108,0.967618,0.55,MEDIUM,0
tx_22231,0.593612,0.420448,0.936026,0.2,MEDIUM,0
tx_35895,0.59359,0.379926,0.925308,0.35,MEDIUM,0
tx_26526,0.593585,0.342729,0.967143,0.35,MEDIUM,0
tx_37824,0.593577,0.393552,0.797447,0.65,MEDIUM,0
tx_20834,0.593556,0.458828,0.967708,0.0,MEDIUM,0
tx_49538,0.593437,0.270572,0.93545,0.65,MEDIUM,0
tx_44528,0.593382,0.470156,0.95453,0.0,MEDIUM,0
tx_34782,0.593376,0.458796,0.967294,0.0,MEDIUM,0
tx_38174,0.593364,0.324859,0.911693,0.55,MEDIUM,0
tx_49033,0.593344,0.395808,0.906826,0.35,MEDIUM,0
tx_46964,0.593329,0.269702,0.936158,0.65,MEDIUM,0
tx_4391,0.593325,0.481385,0.941756,0.0,MEDIUM,0
tx_34833,0.593222,0.322807,0.913648,0.55,MEDIUM,0
tx_49103,0.593171,0.368443,0.937179,0.35,MEDIUM,0
tx_38630,0.593086,0.385164,0.918155,0.35,MEDIUM,0
tx_48015,0.593075,0.332033,0.902899,0.55,MEDIUM,0
tx_46989,0.593045,0.397543,0.960377,0.2,MEDIUM,0
acc_C1068544617,0.592994,0.509954,0.702536,0.55,MEDIUM,0
tx_47322,0.592949,0.348208,0.959387,0.35,MEDIUM,0
tx_37360,0.592937,0.358988,0.872231,0.55,MEDIUM,0
acc_C1071243292,0.592845,0.508834,0.740923,0.45,MEDIUM,0
tx_37550,0.592819,0.342688,0.890273,0.55,MEDIUM,0
tx_32925,0.592726,0.466169,0.957373,0.0,MEDIUM,0
tx_789,0.592691,0.375306,0.928259,0.35,MEDIUM,0
tx_46348,0.592589,0.354996,0.875853,0.55,MEDIUM,0
tx_33708,0.59257,0.334866,0.898451,0.55,MEDIUM,0
tx_49405,0.592523,0.417972,0.80484,0.55,MEDIUM,0
tx_5380,0.592473,0.518434,0.897944,0.0,MEDIUM,0
tx_44352,0.592448,0.270876,0.970134,0.55,MEDIUM,0
tx_33208,0.59242,0.459487,0.964129,0.0,MEDIUM,0
tx_17057,0.592363,0.450793,0.973765,0.0,MEDIUM,0
tx_33963,0.592362,0.306522,0.929817,0.55,MEDIUM,0
tx_48281,0.592193,0.294869,0.905005,0.65,MEDIUM,0
tx_17471,0.592192,0.473804,0.947452,0.0,MEDIUM,0
tx_36100,0.592184,0.365736,0.862757,0.55,MEDIUM,0
tx_44743,0.592177,0.363412,0.940353,0.35,MEDIUM,0
tx_11893,0.592094,0.512691,0.903457,0.0,MEDIUM,0
tx_42079,0.592091,0.388898,0.798968,0.65,MEDIUM,0
tx_44683,0.592033,0.340976,0.852735,0.65,MEDIUM,0
tx_38415,0.592006,0.378954,0.922441,0.35,MEDIUM,0
tx_38100,0.592,0.347115,0.958247,0.35,MEDIUM,0
tx_38982,0.591972,0.357846,0.946103,0.35,MEDIUM,0
tx_36731,0.59194,0.364395,0.938656,0.35,MEDIUM,0
tx_42043,0.591929,0.41831,0.877974,0.35,MEDIUM,0
tx_30966,0.591812,0.443381,0.980727,0.0,MEDIUM,0
tx_47315,0.591736,0.359012,0.944201,0.35,MEDIUM,0
tx_48441,0.591714,0.262544,0.977675,0.55,MEDIUM,0
tx_48705,0.591693,0.353136,0.875703,0.55,MEDIUM,0
tx_43282,0.591602,0.353849,0.949674,0.35,MEDIUM,0
tx_39932,0.5916,0.345932,0.958577,0.35,MEDIUM,0
tx_37032,0.591568,0.349366,0.954634,0.35,MEDIUM,0
tx_34082,0.59155,0.364656,0.862387,0.55,MEDIUM,0
tx_8056,0.591458,0.472547,0.94703,0.0,MEDIUM,0
tx_25044,0.591262,0.424898,0.793895,0.55,MEDIUM,0
tx_41382,0.591237,0.438951,0.740523,0.65,MEDIUM,0
tx_25654,0.591215,0.445055,0.977351,0.0,MEDIUM,0
tx_19379,0.591178,0.262079,0.976857,0.55,MEDIUM,0
tx_48057,0.591132,0.271472,0.966174,0.55,MEDIUM,0
tx_39398,0.591112,0.274019,0.963258,0.55,MEDIUM,0
tx_39566,0.591012,0.350079,0.952441,0.35,MEDIUM,0
tx_36026,0.590951,0.304587,0.890966,0.65,MEDIUM,0
tx_40911,0.590886,0.373452,0.925832,0.35,MEDIUM,0
tx_27452,0.590842,0.420157,0.873179,0.35,MEDIUM,0
tx_45015,0.590788,0.369077,0.930509,0.35,MEDIUM,0
tx_44632,0.590778,0.328059,0.901627,0.55,MEDIUM,0
tx_17493,0.590734,0.460784,0.958453,0.0,MEDIUM,0
tx_42351,0.590704,0.266008,0.971251,0.55,MEDIUM,0
tx_47310,0.590661,0.307465,0.887004,0.65,MEDIUM,0
tx_46231,0.590552,0.350163,0.951197,0.35,MEDIUM,0
tx_34718,0.590538,0.2661,0.933233,0.65,MEDIUM,0
acc_C2111594182,0.590463,0.512594,0.730739,0.45,MEDIUM,0
acc_C1466625351,0.590425,0.529325,0.711821,0.45,MEDIUM,0
tx_41111,0.590279,0.391351,0.791679,0.65,MEDIUM,0
tx_46908,0.590278,0.283488,0.95052,0.55,MEDIUM,0
tx_43090,0.590186,0.36243,0.86148,0.55,MEDIUM,0
tx_45538,0.590177,0.473795,0.942424,0.0,MEDIUM,0
tx_12521,0.590153,0.46442,0.952909,0.0,MEDIUM,0
acc_C1669869536,0.59005,0.539989,0.698886,0.45,MEDIUM,0
tx_47078,0.590034,0.329975,0.897611,0.55,MEDIUM,0
tx_20813,0.589836,0.411376,0.880542,0.35,MEDIUM,0
tx_42042,0.58983,0.354372,0.944658,0.35,MEDIUM,0
tx_23379,0.589766,0.493461,0.806772,0.3,MEDIUM,0
tx_45841,0.589728,0.407919,0.88416,0.35,MEDIUM,0
tx_42292,0.589725,0.330847,0.970859,0.35,MEDIUM,0
tx_33031,0.589721,0.370336,0.926425,0.35,MEDIUM,0
tx_25416,0.589709,0.448824,0.969345,0.0,MEDIUM,0
tx_49157,0.589701,0.37068,0.925988,0.35,MEDIUM,0
tx_47838,0.589663,0.341291,0.958955,0.35,MEDIUM,0
tx_18449,0.589601,0.352003,0.946748,0.35,MEDIUM,0
tx_27456,0.589473,0.459879,0.956318,0.0,MEDIUM,0
tx_46402,0.589379,0.243868,0.955346,0.65,MEDIUM,0
tx_37282,0.589338,0.270599,0.962671,0.55,MEDIUM,0
tx_7473,0.589281,0.468377,0.946278,0.0,MEDIUM,0
tx_45314,0.589261,0.338183,0.848947,0.65,MEDIUM,0
tx_49135,0.58924,0.468008,0.94659,0.0,MEDIUM,0
tx_38045,0.589154,0.468013,0.94637,0.0,MEDIUM,0
tx_38187,0.589144,0.371249,0.923954,0.35,MEDIUM,0
tx_33933,0.589107,0.462309,0.95267,0.0,MEDIUM,0
tx_19166,0.589006,0.457624,0.957688,0.0,MEDIUM,0
tx_30944,0.589005,0.424961,0.994431,0.0,MEDIUM,0
tx_37038,0.588962,0.371138,0.848625,0.55,MEDIUM,0
tx_49808,0.588885,0.35304,0.943793,0.35,MEDIUM,0
